t [s],a [m/s^2]
2.555,0.3013529
2.56,0.3359326
2.565,0.3522723
2.57,0.346882
2.575,0.3231918
2.58,0.2881415
2.585,0.2530112
2.59,0.223991
2.595,0.2003507
2.6,0.1810104
2.605,0.1625302
2.61,0.1362199
2.615,0.09554563
2.62,0.04181936
2.625,-0.02715491
2.63,-0.1158912
2.635,-0.2231414
2.64,-0.3443217
2.645,-0.462772
2.65,-0.5495923
2.655,-0.5886625
2.66,-0.5888128
2.665,-0.5691431
2.67,-0.5442633
2.675,-0.5225436
2.68,-0.5017338
2.685,-0.4666941
2.69,-0.4120644
2.695,-0.3524647
2.7,-0.2998649
2.705,-0.2526252
2.71,-0.2023155
2.715,-0.1472557
2.72,-0.09758601
2.725,-0.05985228
2.73,-0.02965854
2.735,0.001246488
2.74,0.03902592
2.745,0.08320665
2.75,0.1232424
2.755,0.1526721
2.76,0.1672018
2.765,0.1510216
2.77,0.08971931
2.775,-0.006170559
2.78,-0.1079592
2.785,-0.1932095
2.79,-0.2580498
2.795,-0.30904
2.8,-0.3480703
2.805,-0.3764706
2.81,-0.4022408
2.815,-0.4329811
2.82,-0.4697614
2.825,-0.5106316
2.83,-0.5501119
2.835,-0.5839322
2.84,-0.6073924
2.845,-0.6083327
2.85,-0.568413
2.855,-0.4737433
2.86,-0.3283835
2.865,-0.1555038
2.87,0.01153994
2.875,0.1485457
2.88,0.2520654
2.885,0.3310452
2.89,0.3968849
2.895,0.4553646
2.9,0.5080143
2.905,0.5558941
2.91,0.5999938
2.915,0.6378036
2.92,0.6611332
2.925,0.663503
2.93,0.6417327
2.935,0.5943925
2.94,0.5325622
2.945,0.4747119
2.95,0.4261217
2.955,0.3777114
2.96,0.3252011
2.965,0.2779808
2.97,0.2429606
2.975,0.2105603
2.98,0.16466
2.985,0.1014298
2.99,0.0310355
2.995,-0.03625077
3,-0.08321004
3.005,-0.08712731
3.01,-0.04624357
3.015,0.01669016
3.02,0.08213089
3.025,0.1402076
3.03,0.1823073
3.035,0.2047171
3.04,0.2006568
3.045,0.1607665
3.05,0.08980128
3.055,0.01308501
3.06,-0.04473626
3.065,-0.08008253
3.07,-0.1014648
3.075,-0.1135251
3.08,-0.1169353
3.085,-0.1114856
3.09,-0.1039859
3.095,-0.1030361
3.1,-0.1019064
3.105,-0.08834867
3.11,-0.06528694
3.115,-0.04430321
3.12,-0.03103948
3.125,-0.02580075
3.13,-0.02610201
3.135,-0.02952528
3.14,-0.03742455
3.145,-0.04871182
3.15,-0.05416509
3.155,-0.05137736
3.16,-0.04435762
3.165,-0.03041989
3.17,-0.006796762
3.175,0.02632057
3.18,0.0761583
3.185,0.156229
3.19,0.2728088
3.195,0.4208585
3.2,0.5859282
3.205,0.747768
3.21,0.8877177
3.215,0.9997274
3.22,1.084527
3.225,1.138327
3.23,1.157527
3.235,1.143026
3.24,1.099126
3.245,1.033626
3.25,0.9536555
3.255,0.8653053
3.26,0.776795
3.265,0.6908647
3.27,0.6047745
3.275,0.5164942
3.28,0.4318239
3.285,0.3638837
3.29,0.3154034
3.295,0.2721731
3.3,0.2151429
3.305,0.1320026
3.31,0.02273132
3.315,-0.1025979
3.32,-0.2379282
3.325,-0.3866485
3.33,-0.5541487
3.335,-0.743279
3.34,-0.9491293
3.345,-1.15468
3.35,-1.34418
3.355,-1.51218
3.36,-1.64958
3.365,-1.743581
3.37,-1.789381
3.375,-1.786081
3.38,-1.729181
3.385,-1.606081
3.39,-1.414779
3.395,-1.186477
3.4,-0.9540457
3.405,-0.7076939
3.41,-0.4152221
3.415,-0.07420237
3.42,0.2772614
3.425,0.5934731
3.43,0.8550249
3.435,1.067337
3.44,1.227538
3.445,1.31714
3.45,1.325942
3.455,1.257644
3.46,1.129045
3.465,0.9700772
3.47,0.809959
3.475,0.6684808
3.48,0.5499426
3.485,0.4419343
3.49,0.332936
3.495,0.2265478
3.5,0.1361496
3.505,0.06667233
3.51,0.01621409
3.515,-0.01541415
3.52,-0.02545339
3.525,-0.01793463
3.53,-0.004052865
3.535,0.001462396
3.54,-0.01724834
3.545,-0.05733058
3.55,-0.1081828
3.555,-0.1803911
3.56,-0.2904093
3.565,-0.4337875
3.57,-0.5891258
3.575,-0.732604
3.58,-0.8426523
3.585,-0.9069805
3.59,-0.9283288
3.595,-0.925477
3.6,-0.9298452
3.605,-0.9593834
3.61,-0.9967117
3.615,-1.0056
3.62,-0.9732082
3.625,-0.9217264
3.63,-0.8710746
3.635,-0.8137029
3.64,-0.7342011
3.645,-0.6253194
3.65,-0.4881276
3.655,-0.3344758
3.66,-0.1777741
3.665,-0.03204631
3.67,0.08495445
3.675,0.1674312
3.68,0.222863
3.685,0.2601047
3.69,0.2806265
3.695,0.2768582
3.7,0.25035
3.705,0.2122018
3.71,0.1736135
3.715,0.1462753
3.72,0.1332671
3.725,0.1327288
3.73,0.1428706
3.735,0.1572523
3.74,0.1611541
3.745,0.1378959
3.75,0.07684062
3.755,-0.02788862
3.76,-0.1652089
3.765,-0.2939471
3.77,-0.3809153
3.775,-0.4453436
3.78,-0.5361818
3.785,-0.67353
3.79,-0.8343883
3.795,-0.9824066
3.8,-1.092135
3.805,-1.161933
3.81,-1.202931
3.815,-1.21453
3.82,-1.182528
3.825,-1.099126
3.83,-0.9734042
3.835,-0.8133624
3.84,-0.6179207
3.845,-0.3905789
3.85,-0.1459172
3.855,0.0935386
3.86,0.3117464
3.865,0.5034781
3.87,0.6571699
3.875,0.7493517
3.88,0.7617534
3.885,0.7056451
3.89,0.6247469
3.895,0.5560887
3.9,0.4987504
3.905,0.4342722
3.91,0.365394
3.915,0.3169957
3.92,0.2993175
3.925,0.3062593
3.93,0.341581
3.935,0.4069328
3.94,0.4866045
3.945,0.5734363
3.95,0.6758181
3.955,0.7872198
3.96,0.8871416
3.965,0.9623933
3.97,1.007425
3.975,1.017227
3.98,1.000529
3.985,0.9737204
3.99,0.9371021
3.995,0.8735739
4,0.7631057
4.005,0.6031075
4.01,0.4149692
4.015,0.217861
4.02,0.007772722
4.025,-0.2170255
4.03,-0.4403338
4.035,-0.640032
4.04,-0.8002703
4.045,-0.9201685
4.05,-1.005847
4.055,-1.060945
4.06,-1.085243
4.065,-1.081841
4.07,-1.05774
4.075,-1.006838
4.08,-0.9194261
4.085,-0.7961344
4.09,-0.6441126
4.095,-0.4703009
4.1,-0.2790891
4.105,-0.07303834
4.11,0.1310144
4.115,0.3086862
4.12,0.4480679
4.125,0.5491497
4.13,0.6176315
4.135,0.6528032
4.14,0.653175
4.145,0.6228268
4.15,0.5719185
4.155,0.5166402
4.16,0.471352
4.165,0.4404938
4.17,0.4163856
4.175,0.3972473
4.18,0.3949991
4.185,0.4109609
4.19,0.4257626
4.195,0.4323144
4.2,0.4502261
4.205,0.4996679
4.21,0.5795596
4.215,0.6716014
4.22,0.7599332
4.225,0.8342149
4.23,0.8882967
4.235,0.9321985
4.24,0.9845002
4.245,1.052122
4.25,1.127824
4.255,1.202726
4.26,1.271427
4.265,1.327629
4.27,1.367931
4.275,1.390433
4.28,1.391634
4.285,1.365636
4.29,1.311338
4.295,1.22984
4.3,1.124341
4.305,1.003343
4.31,0.8790548
4.315,0.7639266
4.32,0.6611384
4.325,0.5670902
4.33,0.4792319
4.335,0.3928337
4.34,0.3020954
4.345,0.2042772
4.35,0.101209
4.355,-0.002613084
4.36,-0.1028175
4.365,-0.1876058
4.37,-0.247604
4.375,-0.2901622
4.38,-0.3279105
4.385,-0.3673087
4.39,-0.405767
4.395,-0.4288652
4.4,-0.4199134
4.405,-0.3767617
4.41,-0.3136899
4.415,-0.2523082
4.42,-0.2118464
4.425,-0.2047346
4.43,-0.2359629
4.435,-0.3007011
4.44,-0.3894993
4.445,-0.4937176
4.45,-0.6055858
4.455,-0.7146041
4.46,-0.8126323
4.465,-0.8968605
4.47,-0.9719488
4.475,-1.044697
4.48,-1.117995
4.485,-1.182894
4.49,-1.222792
4.495,-1.23319
4.5,-1.221488
4.505,-1.199186
4.51,-1.179385
4.515,-1.165083
4.52,-1.145581
4.525,-1.111279
4.53,-1.065378
4.535,-1.015376
4.54,-0.9578141
4.545,-0.8866224
4.55,-0.8040806
4.555,-0.7177888
4.56,-0.6363671
4.565,-0.5638553
4.57,-0.4966836
4.575,-0.4289918
4.58,-0.35779
4.585,-0.2802283
4.59,-0.1883365
4.595,-0.07454375
4.6,0.06270301
4.605,0.2182088
4.61,0.3803105
4.615,0.5362623
4.62,0.6723341
4.625,0.7787358
4.63,0.8486776
4.635,0.8798093
4.64,0.8787611
4.645,0.8502529
