t [s],a [m/s^2]
4.61,0.9596975
4.615,0.9354371
4.62,0.9008268
4.625,0.8541663
4.63,0.8048559
4.635,0.7575256
4.64,0.7136952
4.645,0.6759048
4.65,0.6458344
4.655,0.628334
4.66,0.6266536
4.665,0.6275232
4.67,0.6226428
4.675,0.6037024
4.68,0.544562
4.685,0.4362016
4.69,0.3087812
4.695,0.1953008
4.7,0.1126504
4.705,0.04438303
4.71,-0.02531536
4.715,-0.09530976
4.72,-0.1753111
4.725,-0.2577015
4.73,-0.324802
4.735,-0.3728723
4.74,-0.4070827
4.745,-0.4207331
4.75,-0.4011235
4.755,-0.3696539
4.76,-0.3524243
4.765,-0.3351147
4.77,-0.3103851
4.775,-0.2909155
4.78,-0.2967059
4.785,-0.3385663
4.79,-0.4072567
4.795,-0.4924671
4.8,-0.5854375
4.805,-0.6747078
4.81,-0.7490382
4.815,-0.8096687
4.82,-0.854269
4.825,-0.8821594
4.83,-0.8973798
4.835,-0.9062002
4.84,-0.9119106
4.845,-0.911031
4.85,-0.8970314
4.855,-0.8780418
4.86,-0.8676322
4.865,-0.8642326
4.87,-0.847923
4.875,-0.7964834
4.88,-0.7195938
4.885,-0.6312842
4.89,-0.5381646
4.895,-0.4436649
4.9,-0.3351054
4.905,-0.2286957
4.91,-0.1563861
4.915,-0.1238665
4.92,-0.1023169
4.925,-0.06622532
4.93,-0.03183771
4.935,-0.001766407
4.94,0.0394555
4.945,0.08948711
4.95,0.1409207
4.955,0.1805503
4.96,0.1987199
4.965,0.1995995
4.97,0.1991791
4.975,0.1995787
4.98,0.1839483
4.985,0.1522579
4.99,0.1309876
4.995,0.1374072
5,0.1747868
5.005,0.2283164
5.01,0.276406
5.015,0.3041056
5.02,0.3163652
5.025,0.3180348
5.03,0.2912444
5.035,0.247274
5.04,0.2139436
5.045,0.1939532
5.05,0.1757928
5.055,0.1600024
5.06,0.161622
5.065,0.1939316
5.07,0.2426713
5.075,0.2859308
5.08,0.3143204
5.085,0.3297601
5.09,0.3334997
5.095,0.3192093
5.1,0.3011989
5.105,0.2991285
5.11,0.3108981
5.115,0.3284377
5.12,0.3387873
5.125,0.3394269
5.13,0.3281965
5.135,0.3004161
5.14,0.2726857
5.145,0.2403053
5.15,0.1869449
5.155,0.1350245
5.16,0.09996415
5.165,0.07712375
5.17,0.06112936
5.175,0.06904597
5.18,0.09770557
5.185,0.1280422
5.19,0.1501518
5.195,0.1567314
5.2,0.155621
5.205,0.1556706
5.21,0.1663802
5.215,0.1840798
5.22,0.1849994
5.225,0.165749
5.23,0.1415286
5.235,0.1216682
5.24,0.1139278
5.245,0.1113974
5.25,0.08912405
5.255,0.05031966
5.26,0.006649563
