t [s],a [m/s^2]
5.995,0.088827
6,0.06225146
6.005,0.04595391
6.01,0.03233037
6.015,0.01811382
6.02,0.004067778
6.025,-0.01682727
6.03,-0.05235681
6.035,-0.1029924
6.04,-0.1681659
6.045,-0.2409494
6.05,-0.311963
6.055,-0.3756865
6.06,-0.4263001
6.065,-0.4566936
6.07,-0.4662372
6.075,-0.4547807
6.08,-0.4286143
6.085,-0.4076478
6.09,-0.4038313
6.095,-0.4128649
6.1,-0.4226384
6.105,-0.427212
6.11,-0.4326255
6.115,-0.4463991
6.12,-0.4655326
6.125,-0.4807462
6.13,-0.4836697
6.135,-0.4721532
6.14,-0.4499368
6.145,-0.4186103
6.15,-0.3843639
6.155,-0.3503874
6.16,-0.3132409
6.165,-0.2684445
6.17,-0.213258
6.175,-0.1482616
6.18,-0.07459413
6.185,0.004609022
6.19,0.08913778
6.195,0.1760442
6.2,0.2621507
6.205,0.3481971
6.21,0.4352036
6.215,0.5200101
6.22,0.5979365
6.225,0.669563
6.23,0.7312394
6.235,0.7746959
6.24,0.7990323
6.245,0.8081988
6.25,0.8028952
6.255,0.7854217
6.26,0.7590482
6.265,0.7231846
6.27,0.6781111
6.275,0.6217975
6.28,0.554114
6.285,0.4779104
6.29,0.3959469
6.295,0.3103434
6.3,0.2233998
6.305,0.1377063
6.31,0.05631472
6.315,-0.02113982
6.32,-0.09648437
6.325,-0.1692979
6.33,-0.2411315
6.335,-0.311655
6.34,-0.3809085
6.345,-0.4504621
6.35,-0.5145757
6.355,-0.5657791
6.36,-0.6001527
6.365,-0.6194963
6.37,-0.6235898
6.375,-0.6090034
6.38,-0.5820269
6.385,-0.5511205
6.39,-0.514154
6.395,-0.4703775
6.4,-0.4236411
6.405,-0.3736446
6.41,-0.3187482
6.415,-0.2637817
6.42,-0.2129253
6.425,-0.1685288
6.43,-0.1308423
6.435,-0.1022959
6.44,-0.08707543
6.445,-0.08826497
6.45,-0.1065165
6.455,-0.1354801
6.46,-0.1691536
6.465,-0.2072871
6.47,-0.2507707
6.475,-0.2977842
6.48,-0.3467378
6.485,-0.3988113
6.49,-0.4513749
6.495,-0.4998584
6.5,-0.5419919
6.505,-0.5770055
6.51,-0.603709
6.515,-0.6202626
6.52,-0.6278561
6.525,-0.6250697
6.53,-0.6083132
6.535,-0.5771968
6.54,-0.5375703
6.545,-0.4892839
6.55,-0.4289474
6.555,-0.354681
6.56,-0.2651945
6.565,-0.169538
6.57,-0.07334258
6.575,0.03292088
6.58,0.1551913
6.585,0.2868378
6.59,0.4199043
6.595,0.5439207
6.6,0.6551372
6.605,0.7607836
6.61,0.85963
6.615,0.9426665
6.62,1.009833
6.625,1.060729
6.63,1.091826
6.635,1.104422
6.64,1.095619
6.645,1.061915
6.65,1.004612
6.655,0.9272382
6.66,0.8375546
6.665,0.7449911
6.67,0.6551775
6.675,0.573094
6.68,0.5012804
6.685,0.4395269
6.69,0.3858434
6.695,0.3387198
6.7,0.3007163
